Keyword,Location,Name,Website,Phone,Instagram,Facebook,Twitter,Additional Phone,Email
Carpeting+and+Flooring+New+York,New York,Bay Ridge Carpet & Linoleum,bayridgecarpet.com,+1 718-285-7838,,,,,doug@bayridgecarpet.com
Carpeting+and+Flooring+New+York,New York,Carpet Time Inc,carpettimenyc.com,+1 718-472-4740,https://www.instagram.com/carpettimenyc/?hl=en,https://www.facebook.com/carpettimenyc,,"(718) 472-4740, 718-472-4740",hello@carpettimenyc.com
Carpeting+and+Flooring+New+York,New York,Carpet City,carpetcityinc.com,+1 718-267-7000,,,,", 718-267-7000",
Carpeting+and+Flooring+New+York,New York,Duro Carpet,durocarpet.business.site,+1 212-475-8789,,,,+1-212-475-8789,
Carpeting+and+Flooring+New+York,New York,212 Carpet.com,212carpet.com,+1 212-537-9219,https://www.instagram.com/212carpet/,https://www.facebook.com/212carpetcom-135893369838029/,https://twitter.com/212carpetny,2125379219,sales@212carpet.com
Carpeting+and+Flooring+New+York,New York,"ESSEE Floor Covering: “Honesty, Integrity, Reliability since 1949”",esseefloor.com,+1 212-862-7000,,https://www.facebook.com/EsseeFloor/,https://twitter.com/EsseeFloor,,stephanie@esseefloor.com
Carpeting+and+Flooring+New+York,New York,Sino Carpet & Tile,manhattan.floorstogo.com,+1 212-334-5046,,,,"(718) 567-8900, (212) 334-5046",
Carpeting+and+Flooring+New+York,New York,My Way Carpet Floors and More NY,mywaycarpet.com,+1 877-699-2969,,https://www.facebook.com/MyWayCarpetFloorsAndMore,https://twitter.com/877MyWayCarpet,"8774669929, 877-466-9929, 908-757-3470",info@mywaycarpet.com
Carpeting+and+Flooring+New+York,New York,Manhattan Royal Carpet and Floors,manhattanroyalfloors.com,+1 212-365-5560,https://www.instagram.com/manhattanroyalfloors/,https://www.facebook.com/profile.php?id=61554729132113,,2123655560,contact@sansoxygen.com
Carpeting+and+Flooring+New+York,New York,Quality Carpet One Floor & Home,qualitycarpethomebrooklyn.com,+1 646-568-4476,,,,,
Carpeting+and+Flooring+New+York,New York,Richard Afkari Carpet and Rugs,richardafkari.com,+1 212-486-2227,https://instagram.com/rugsinnnyc,https://www.facebook.com/richardafkarirugs/,https://twitter.com/AfkariRichard,(212)-486-2227,Richard-Afkari-Rugs-In-NYC-logo_300x@2x.png
Carpeting+and+Flooring+New+York,New York,New York Carpet installation,nycarpetinstallation.com,+1 212-655-4404,,,,+18006987012,i-close-m-n@2x.png
Carpeting+and+Flooring+New+York,New York,Maya Carpet Co Inc,mayacarpet.com,+1 212-759-0022,,,,,
Carpeting+and+Flooring+New+York,New York,Sacco Carpet,saccocarpet.com,+1 212-226-4344,,,,,
Carpeting+and+Flooring+New+York,New York,Hamilton Carpet One Floor & Home,hamiltoncarpetone.com,+1 347-560-9949,,,,,
Carpeting+and+Flooring+New+York,New York,Queens Carpet One Floor & Home,queenscarpetonecollegepoint.com,+1 646-553-4995,,,,,
Carpeting+and+Flooring+New+York,New York,Bay Carpet,baycarpet.com,+1 718-366-5001,,https://www.facebook.com/BayCarpetNY/,,7183665001,quickstep_logo@1x.jpg
Carpeting+and+Flooring+New+York,New York,Chelsea Floor Covering,chelseafloors.com,+1 212-243-0375,https://www.instagram.com/chelseafloorcovering/,,,,info@chelseafloors.com
Carpeting+and+Flooring+New+York,New York,Allerton Carpet & Flooring LLC,allertonflooring.com,+1 718-655-2980,,,,(718) 655-2980,allertoncarpetflooring@gmail.com
Carpeting+and+Flooring+New+York,New York,Ez Carpet & Flooring Sale Install Repair,ezcarpetsservice.com,+1 929-224-5231,,,,,carpetez@yahoo.com
Carpeting+and+Flooring+New+York,New York,TSAR Carpets USA,tsarcarpets.com,+1 646-415-7968,,,,,
Carpeting+and+Flooring+New+York,New York,Constantine Carpet Showroom,constantine-carpet.com,+1 212-840-3816,,,,,
Carpeting+and+Flooring+New+York,New York,Tufenkian Carpets New York,tufenkian.com,+1 917-900-3166,https://www.instagram.com/tufenkiancarpets,https://www.facebook.com/TufenkianCarpets,,"(800)928-6671, 212.475.2475, 800.928.6671, 1-212-475-2475, 1-800-928-6671",hello@Tufenkian.com
Carpeting+and+Flooring+New+York,New York,abc carpet & home,abchome.com,+1 212-473-3000,https://www.instagram.com/abccarpetandhome/,https://www.facebook.com/abccarpetandhome,,,ecom-swiper@11.css
Carpeting+and+Flooring+New+York,New York,Northern Floor Covering,northernfloorcoveringny.com,+1 718-358-4100,,,,,
Carpeting+and+Flooring+New+York,New York,TF Andrew Carpet One Floor & Home,tfandrew.com,+1 914-654-8000,,,,,
Carpeting+and+Flooring+New+York,New York,Caesar's Carpet Center,caesarscarpet.com,+1 718-768-6477,,https://www.facebook.com/Caesars-Carpet-Center-816532045133053,,"718-768-6477, +1-718-768-6477",info@caesarscarpet.com
Carpeting+and+Flooring+New+York,New York,All Carpets & Floor Covering LLC,allfloors.us,+1 347-357-0027,,,,,
Carpeting+and+Flooring+New+York,New York,Image Carpets,imagecarpets.com,+1 212-889-3326,,,,,
Carpeting+and+Flooring+New+York,New York,Carpet Designers & More,carpetdesigners.weebly.com,+1 347-247-4879,,,,,quineece07@gmail.com
Carpeting+and+Flooring+New+York,New York,Carpetorium Inc,carpetorium.com,+1 212-979-7373,,,,,
Carpeting+and+Flooring+New+York,New York,Jukel Carpeting Installers,jukelcarpetinstallers.com,+1 347-909-5033,,,,"3479095033, +(347)909-5033, (347)909-5033",chalco.patricia@gmail.com
Carpeting+and+Flooring+New+York,New York,AAA Rug Repair Inc.,aaarugrepair.com,+1 917-627-2232,http://instagram.com/aaarugrepair,https://facebook.com/aaarugrepair,https://twitter.com/aaarugrepair,,shahramnyc@usa.com
Carpeting+and+Flooring+New+York,New York,Kermanshah Oriental Rugs Gallery,kermanshahrugs.com,+1 212-627-7077,,,,,KBORUGS@AOL.COM
Carpeting+and+Flooring+New+York,New York,Stepevi USA Ltd,stepevi.com,+1 212-466-0400,https://www.instagram.com/stepevicarpets/,https://www.facebook.com/pages/STEPEVI/137650536309983,,,customerservice@stepevi.com
